Name,Position,Wins,Hybrid Rating
Dean Henderson,Goalkeeper,14,-0.08698027219895098
Victor Lindelöf,Defender,41,0.014816614999474396
Eric Bailly,Defender,35,-0.12960405628537996
Phil Jones,Defender,104,0.42271287865234763
Harry Maguire,Defender,50,0.12450081846198625
Chris Smalling,Defender,122,0.3770853681468182
Marcos Rojo,Defender,45,0.004450774014439263
Diogo Dalot,Defender,9,-0.18364734713516068
Luke Shaw,Defender,68,0.1879926728342084
Timothy Fosu-Mensah,Defender,17,-0.15592644812502068
Aaron Wan-Bissaka,Defender,32,-0.018999735246327844
Axel Tuanzebe,Defender,4,-0.2040693172642095
Brandon Williams,Defender,8,-0.17783990468867267
Teden Mengi,Defender,0,-0.22958541619115666
Paul Pogba,Midfielder,63,0.5540188948822288
Juan Mata,Midfielder,136,1.1405335843749191
Jesse Lingard,Midfielder,68,0.2705563526503637
Andreas Pereira,Midfielder,21,-0.09332833981002202
Fred,Midfielder,22,-0.0979274145951799
Bruno Fernandes,Midfielder,9,-0.0708656253098468
Daniel James,Midfielder,15,-0.06807319932147951
Nemanja Matic,Midfielder,127,0.4258715141477715
Scott McTominay,Midfielder,33,-0.027866475243750133
Donny van de Beek,Midfielder,0,-0.22046959940153985
Anthony Martial,Forward,73,0.5644913433186943
Marcus Rashford,Forward,76,0.46286174279186204
Odion Ighalo,Forward,23,0.015060684512929579
Mason Greenwood,Forward,14,-0.08797188361640322
Mark Gillespie,Goalkeeper,0,-0.2517683302997941
Martin Dubravka,Goalkeeper,29,0.10996321718027834
Karl Darlow,Goalkeeper,5,-0.17007800118544356
Daniel Langley,Goalkeeper,0,-0.23180370760202038
Ciaran Clark,Defender,45,-0.045839114425688145
Paul Dummett,Defender,42,-0.03886284095412973
Fabian Schär,Defender,17,-0.11525932682529405
Jamaal Lascelles,Defender,34,-0.04798729081902022
Emil Krafth,Defender,5,-0.2047353679801639
Federico Fernández,Defender,55,0.21196623957144398
Javier Manquillo,Defender,25,-0.07591578462590605
DeAndre Yedlin,Defender,29,-0.14740466224738885
Jamal Lewis,Defender,4,-0.20801296250112572
Jacob Murphy,Midfielder,6,-0.16330998391975948
Jonjo Shelvey,Midfielder,77,0.428569684247606
Matt Ritchie,Midfielder,38,0.30541888521549965
Isaac Hayden,Midfielder,31,-0.14433039194427538
Miguel Almirón,Midfielder,17,-0.06991766676697439
Christian Atsu,Midfielder,25,-0.022450276483298847
Sean Longstaff,Midfielder,12,-0.2068873304184327
Matthew Longstaff,Midfielder,2,-0.19653821740984126
Jeff Hendrick,Midfielder,41,-0.009259946774899778
Ryan Fraser,Midfielder,34,0.3548553919215125
Henri Saivet,Midfielder,3,-0.21126272936403798
Daniel Barlaser,Midfielder,0,-0.24067687324547546
Andy Carroll,Forward,81,0.4475897480612209
Joelinton,Forward,12,-0.15771357783856982
Allan Saint-Maximin,Forward,11,-0.12176911993351354
Dwight Gayle,Forward,28,-0.006995535916138478
Callum Wilson,Forward,39,0.19469355293608082
Wes Foderingham,Goalkeeper,0,-0.25398662171065794
Michael Verrips,Goalkeeper,0,-0.24067687324547546
Simon Moore,Goalkeeper,0,-0.25250448062331604
Aaron Ramsdale,Goalkeeper,9,-0.09931045576125587
George Baldock,Defender,14,-0.1248126334781894
Enda Stevens,Defender,16,-0.09978871921904181
Jack O'Connell,Defender,13,-0.11693906835031076
Chris Basham,Defender,20,-0.09068308922608703
John Egan,Defender,14,-0.26054589172812603
Jack Robinson,Defender,2,-0.22536594591194836
Kean Bryan,Defender,0,-0.24067687324547546
Phil Jagielka,Defender,147,0.8483751878587178
Max Lowe,Defender,0,-0.24067687324547546
Ethan Ampadu,Defender,1,-0.20723660412540704
Jayden Bogle,Defender,0,-0.2340219990128842
John Fleck,Midfielder,10,-0.11740402262362405
John Lundstram,Midfielder,12,-0.09377510905435235
Oliver Norwood,Midfielder,14,-0.12238111290198966
Ben Osborn,Midfielder,8,-0.19915594176027213
Sander Berge,Midfielder,6,-0.1740548074517403
Jack Rodwell,Midfielder,50,0.13060711573533532
Regan Slater,Midfielder,0,-0.23624029042374792
Oliver Burke,Midfielder,0,-0.19280065671967628
Zak Brunt,Midfielder,0,-0.22958541619115666
Oliver McBurnie,Forward,17,-0.10932247103366738
Billy Sharp,Forward,7,-0.27965515786862527
David McGoldrick,Forward,10,-0.1567704919413198
Lys Mousset,Forward,31,-0.06107700638874359
Alex McCarthy,Goalkeeper,26,0.09878073536175756
Angus Gunn,Goalkeeper,6,-0.16957226281224966
Fraser Forster,Goalkeeper,44,0.16082425134086378
Harry Lewis,Goalkeeper,0,-0.23845858183461163
Jannik Vestergaard,Defender,14,-0.13773983079002766
