Name,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist,rating21
Jan Oblak,3420.0,120.0,25.0,97.0,2714.9,18.0,31.8,4.0,1.0,2.0,1.0,269.0,620.0,1740.8,714.0,122.0,2224.7,1683.8,289.0,2478.0,1869.2,327.0,19.0,212.8,18.0,576.9,91.0
Jasper Cillessen,900.0,45.0,11.0,33.0,769.2,3.0,12.1,2.0,1.0,1.0,0.0,71.0,198.0,377.3,222.0,41.0,586.1,445.0,95.0,682.7,527.5,123.0,8.0,65.1,8.0,136.8,81.0
Jaume Doménech,2520.0,124.0,42.0,86.0,1842.8,4.0,39.2,6.0,4.0,2.0,0.0,264.0,525.0,1440.6,654.0,105.0,1478.3,1140.0,243.0,1933.7,1448.1,325.0,21.0,218.0,15.0,359.1,77.0
Jean-Louis Leca,3313.0,128.0,51.0,89.0,2678.6,8.0,46.9,11.0,10.0,1.0,0.0,204.0,524.0,1565.1,772.0,135.0,1799.9,1474.6,259.0,1689.3,1451.7,276.0,18.0,260.0,21.0,573.6,73.0
Jeremías Ledesma,2880.0,118.0,45.0,79.0,2190.4,9.0,38.7,9.0,8.0,1.0,0.0,341.0,860.0,1263.9,698.0,62.0,2640.1,1850.9,299.0,2987.7,2187.2,333.0,33.0,338.2,14.0,428.0,74.0
Jeroen Zoet,603.0,26.0,12.0,17.0,407.8,1.0,11.6,3.0,3.0,0.0,0.0,56.0,128.0,318.7,276.0,46.0,285.4,261.3,30.0,325.0,296.2,60.0,6.0,65.9,8.0,100.9,76.0
Jessy Moulin,2610.0,100.0,42.0,61.0,1789.5,9.0,38.2,4.0,4.0,0.0,0.0,140.0,370.0,1227.8,679.0,146.0,1037.7,1065.6,202.0,1744.8,1382.1,220.0,13.0,212.7,9.0,390.9,70.0
Jiří Pavlenka,3060.0,150.0,57.0,100.0,2122.6,6.0,47.6,6.0,4.0,2.0,0.0,242.0,521.0,1599.8,865.0,165.0,1483.3,1298.0,283.0,1743.8,1440.1,360.0,21.0,220.3,22.0,509.6,82.0
Joel Robles,1620.0,56.0,25.0,37.0,1153.4,6.0,21.7,5.0,4.0,1.0,0.0,99.0,301.0,597.2,449.0,80.0,911.1,759.5,116.0,888.0,735.6,145.0,10.0,93.8,14.0,298.1,76.0
John Ruddy,91.0,4.0,1.0,3.0,75.0,0.0,1.1,0.0,0.0,0.0,0.0,1.0,6.0,25.0,19.0,10.0,122.2,93.9,5.0,50.0,84.8,9.0,0.0,0.0,0.0,10.4,70.0
